     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
        52, 2008/07/29, 14:20:07:266,     0.651
        53, 2008/07/29, 14:20:07:917,     0.614
        54, 2008/07/29, 14:20:08:531,     0.591
        55, 2008/07/29, 14:20:09:122,     0.580
        56, 2008/07/29, 14:20:09:702,     0.577
        57, 2008/07/29, 14:20:10:279,     0.597
        58, 2008/07/29, 14:20:10:876,     0.662
        59, 2008/07/29, 14:20:11:538,     0.786
        60, 2008/07/29, 14:20:12:324,     0.886
        61, 2008/07/29, 14:20:13:210,     0.879
        62, 2008/07/29, 14:20:14:089,     0.849
        63, 2008/07/29, 14:20:14:938,     0.806
        64, 2008/07/29, 14:20:15:744,     0.756
        65, 2008/07/29, 14:20:16:500,     0.709
        66, 2008/07/29, 14:20:17:209,     0.664
        67, 2008/07/29, 14:20:17:873,     0.625
        68, 2008/07/29, 14:20:18:498,     0.600
        69, 2008/07/29, 14:20:19:098,     0.591
        70, 2008/07/29, 14:20:19:689,     0.595
        71, 2008/07/29, 14:20:20:284,     0.611
        72, 2008/07/29, 14:20:20:895,     0.659
        73, 2008/07/29, 14:20:21:554,     0.755
        74, 2008/07/29, 14:20:22:309,     0.851
        75, 2008/07/29, 14:20:23:160,     0.874
        76, 2008/07/29, 14:20:24:034,     0.886
        77, 2008/07/29, 14:20:24:920,     0.865
        78, 2008/07/29, 14:20:25:785,     0.822
        79, 2008/07/29, 14:20:26:607,     0.777
        80, 2008/07/29, 14:20:27:384,     0.717
        81, 2008/07/29, 14:20:28:101,     0.683
        82, 2008/07/29, 14:20:28:784,     0.653
        83, 2008/07/29, 14:20:29:437,     0.627
        84, 2008/07/29, 14:20:30:064,     0.620
        85, 2008/07/29, 14:20:30:684,     0.620
        86, 2008/07/29, 14:20:31:304,     0.633
        87, 2008/07/29, 14:20:31:937,     0.680
        88, 2008/07/29, 14:20:32:617,     0.745
        89, 2008/07/29, 14:20:33:362,     0.798
        90, 2008/07/29, 14:20:34:160,     0.804
        91, 2008/07/29, 14:20:34:964,     0.799
        92, 2008/07/29, 14:20:35:763,     0.772
        93, 2008/07/29, 14:20:36:535,     0.726
        94, 2008/07/29, 14:20:37:261,     0.691
        95, 2008/07/29, 14:20:37:952,     0.659
        96, 2008/07/29, 14:20:38:611,     0.638
        97, 2008/07/29, 14:20:39:249,     0.628
        98, 2008/07/29, 14:20:39:877,     0.621
        99, 2008/07/29, 14:20:40:498,     0.631
       100, 2008/07/29, 14:20:41:129,     0.661
       101, 2008/07/29, 14:20:41:790,     0.715
       102, 2008/07/29, 14:20:42:505,     0.752
       103, 2008/07/29, 14:20:43:257,     0.784
       104, 2008/07/29, 14:20:44:041,     0.786
       105, 2008/07/29, 14:20:44:827,     0.757
       106, 2008/07/29, 14:20:45:584,     0.719
       107, 2008/07/29, 14:20:46:303,     0.680
       108, 2008/07/29, 14:20:46:983,     0.650
       109, 2008/07/29, 14:20:47:633,     0.624
       110, 2008/07/29, 14:20:48:257,     0.609
       111, 2008/07/29, 14:20:48:866,     0.598
       112, 2008/07/29, 14:20:49:464,     0.600
       113, 2008/07/29, 14:20:50:064,     0.619
       114, 2008/07/29, 14:20:50:683,     0.658
       115, 2008/07/29, 14:20:51:341,     0.708
       116, 2008/07/29, 14:20:52:049,     0.762
       117, 2008/07/29, 14:20:52:811,     0.749
       118, 2008/07/29, 14:20:53:560,     0.738
       119, 2008/07/29, 14:20:54:298,     0.719
       120, 2008/07/29, 14:20:55:017,     0.695
       121, 2008/07/29, 14:20:55:712,     0.674
       122, 2008/07/29, 14:20:56:386,     0.653
       123, 2008/07/29, 14:20:57:039,     0.628
       124, 2008/07/29, 14:20:57:667,     0.605
       125, 2008/07/29, 14:20:58:272,     0.594
       126, 2008/07/29, 14:20:58:866,     0.585
       127, 2008/07/29, 14:20:59:451,     0.590
       128, 2008/07/29, 14:21:00:041,     0.608
       129, 2008/07/29, 14:21:00:649,     0.650
       130, 2008/07/29, 14:21:01:299,     0.694
       131, 2008/07/29, 14:21:01:993,     0.729
       132, 2008/07/29, 14:21:02:722,     0.743
       133, 2008/07/29, 14:21:03:465,     0.741
       134, 2008/07/29, 14:21:04:206,     0.743
       135, 2008/07/29, 14:21:04:949,     0.732
       136, 2008/07/29, 14:21:05:681,     0.711
       137, 2008/07/29, 14:21:06:392,     0.682
       138, 2008/07/29, 14:21:07:074,     0.653
       139, 2008/07/29, 14:21:07:727,     0.626
       140, 2008/07/29, 14:21:08:353,     0.611
       141, 2008/07/29, 14:21:08:964,     0.597
       142, 2008/07/29, 14:21:09:561,     0.596
       143, 2008/07/29, 14:21:10:157,     0.594
       144, 2008/07/29, 14:21:10:751,     0.607
       145, 2008/07/29, 14:21:11:358,     0.641
       146, 2008/07/29, 14:21:11:999,     0.705
       147, 2008/07/29, 14:21:12:704,     0.787
       148, 2008/07/29, 14:21:13:491,     0.828
       149, 2008/07/29, 14:21:14:319,     0.809
       150, 2008/07/29, 14:21:15:128,     0.806
       151, 2008/07/29, 14:21:15:934,     0.793
       152, 2008/07/29, 14:21:16:727,     0.742
       153, 2008/07/29, 14:21:17:469,     0.693
       154, 2008/07/29, 14:21:18:162,     0.655
       155, 2008/07/29, 14:21:18:817,     0.632
       156, 2008/07/29, 14:21:19:449,     0.613
       157, 2008/07/29, 14:21:20:062,     0.608
       158, 2008/07/29, 14:21:20:670,     0.601
       159, 2008/07/29, 14:21:21:271,     0.601
       160, 2008/07/29, 14:21:21:872,     0.618
       161, 2008/07/29, 14:21:22:490,     0.665
       162, 2008/07/29, 14:21:23:155,     0.709
       163, 2008/07/29, 14:21:23:864,     0.738
       164, 2008/07/29, 14:21:24:602,     0.737
       165, 2008/07/29, 14:21:25:339,     0.709
       166, 2008/07/29, 14:21:26:048,     0.689
       167, 2008/07/29, 14:21:26:737,     0.666
       168, 2008/07/29, 14:21:27:403,     0.639
       169, 2008/07/29, 14:21:28:042,     0.620
       170, 2008/07/29, 14:21:28:662,     0.602
       171, 2008/07/29, 14:21:29:264,     0.587
       172, 2008/07/29, 14:21:29:851,     0.583
       173, 2008/07/29, 14:21:30:434,     0.579
