     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
       215, 2008/07/29, 16:34:37:006,     1.078
       216, 2008/07/29, 16:34:38:084,     0.973
       217, 2008/07/29, 16:34:39:057,     0.986
       218, 2008/07/29, 16:34:40:043,     0.999
       219, 2008/07/29, 16:34:41:042,     0.950
       220, 2008/07/29, 16:34:41:992,     0.963
       221, 2008/07/29, 16:34:42:955,     1.051
       222, 2008/07/29, 16:34:44:006,     1.063
       223, 2008/07/29, 16:34:45:069,     0.959
       224, 2008/07/29, 16:34:46:028,     1.021
       225, 2008/07/29, 16:34:47:049,     1.076
       226, 2008/07/29, 16:34:48:125,     1.020
       227, 2008/07/29, 16:34:49:145,     1.003
       228, 2008/07/29, 16:34:50:148,     1.055
       229, 2008/07/29, 16:34:51:203,     1.070
       230, 2008/07/29, 16:34:52:273,     0.971
       231, 2008/07/29, 16:34:53:244,     0.980
       232, 2008/07/29, 16:34:54:224,     1.028
       233, 2008/07/29, 16:34:55:252,     0.991
       234, 2008/07/29, 16:34:56:243,     0.985
       235, 2008/07/29, 16:34:57:228,     1.086
       236, 2008/07/29, 16:34:58:314,     1.109
       237, 2008/07/29, 16:34:59:423,     1.032
       238, 2008/07/29, 16:35:00:455,     1.039
       239, 2008/07/29, 16:35:01:494,     1.086
       240, 2008/07/29, 16:35:02:580,     0.966
       241, 2008/07/29, 16:35:03:546,     0.996
       242, 2008/07/29, 16:35:04:542,     1.018
       243, 2008/07/29, 16:35:05:560,     0.951
       244, 2008/07/29, 16:35:06:511,     0.960
       245, 2008/07/29, 16:35:07:471,     1.018
       246, 2008/07/29, 16:35:08:489,     1.073
       247, 2008/07/29, 16:35:09:562,     1.005
       248, 2008/07/29, 16:35:10:567,     1.087
       249, 2008/07/29, 16:35:11:654,     1.069
       250, 2008/07/29, 16:35:12:723,     0.940
       251, 2008/07/29, 16:35:13:663,     1.007
       252, 2008/07/29, 16:35:14:670,     1.066
       253, 2008/07/29, 16:35:15:736,     0.965
       254, 2008/07/29, 16:35:16:701,     0.965
       255, 2008/07/29, 16:35:17:666,     1.011
       256, 2008/07/29, 16:35:18:677,     0.984
       257, 2008/07/29, 16:35:19:661,     0.950
       258, 2008/07/29, 16:35:20:611,     1.020
       259, 2008/07/29, 16:35:21:631,     1.067
       260, 2008/07/29, 16:35:22:698,     0.964
       261, 2008/07/29, 16:35:23:662,     1.016
       262, 2008/07/29, 16:35:24:678,     1.072
       263, 2008/07/29, 16:35:25:750,     0.952
       264, 2008/07/29, 16:35:26:702,     0.964
